n,n^3,time
2,8,0.0008945999999980358
3,27,0.0008617000000015196
4,64,0.0009119999999995798
5,125,0.0009364000000005035
6,216,0.0009553999999980078
7,343,0.0009964000000024953
8,512,0.0010514999999998054
9,729,0.0010934999999989258
10,1000,0.0011459000000002106
11,1331,0.0012238999999993894
12,1728,0.0012756999999993467
13,2197,0.0013828000000017937
14,2744,0.0015411000000000285
15,3375,0.0016239999999982046
16,4096,0.00166240000000073
17,4913,0.001759900000001835
18,5832,0.0018888999999973066
19,6859,0.001979200000002379
20,8000,0.0021453999999977214
21,9261,0.002333300000000804
22,10648,0.0024331000000017864
23,12167,0.0025898999999981243
24,13824,0.0026849999999996044
25,15625,0.0028711000000015475
26,17576,0.003068299999998203
27,19683,0.0033019000000024334
28,21952,0.0033565999999979113
29,24389,0.0035943000000003165
30,27000,0.003764699999999266
31,29791,0.004054500000000872
32,32768,0.004236700000001292
33,35937,0.00448549999999841
34,39304,0.004620800000000713
35,42875,0.004932299999998691
36,46656,0.0051190000000019605
37,50653,0.00538699999999892
38,54872,0.0056656000000003814
39,59319,0.00604020000000105
40,64000,0.006212899999999877
41,68921,0.006435600000000363
42,74088,0.006711500000000115
43,79507,0.007086799999999016
44,85184,0.007333299999999099
45,91125,0.007648800000001188
46,97336,0.008052799999998684
47,103823,0.008346800000001053
48,110592,0.00854060000000061
49,117649,0.008858999999998219
50,125000,0.009239500000001044
51,132651,0.00954020000000071
52,140608,0.00993079999999793
53,148877,0.010378800000000864
54,157464,0.010611700000001178
55,166375,0.010866599999999949
56,175616,0.011243299999998157
57,185193,0.011594900000000052
58,195112,0.012124300000002109
59,205379,0.012386199999997415
60,216000,0.012566100000000802
61,226981,0.013682600000001344
62,238328,0.013441699999998492
63,250047,0.01416940000000011
64,262144,0.01632759999999962
65,274625,0.015100400000000036
66,287496,0.015571500000001492
67,300763,0.016086899999999106
68,314432,0.01624800000000164
69,328509,0.016777099999998768
70,343000,0.017126799999999776
71,357911,0.018008000000000378
72,373248,0.018370899999999322
73,389017,0.018855400000001056
74,405224,0.019875500000000556
75,421875,0.019968000000000076
76,438976,0.020408199999999967
77,456533,0.020693199999999478
78,474552,0.021228499999998006
79,493039,0.022013100000000917
80,512000,0.022244200000000092
81,531441,0.022682199999999854
82,551368,0.024297200000000886
83,571787,0.024144599999999627
84,592704,0.024469199999998636
85,614125,0.026193500000002246
86,636056,0.02623879999999872
87,658503,0.026498900000001414
88,681472,0.02718489999999747
89,704969,0.027558500000000662
90,729000,0.027679800000001364
91,753571,0.028531699999999206
92,778688,0.02953070000000082
93,804357,0.029883899999998676
94,830584,0.030573100000000863
95,857375,0.03111629999999934
96,884736,0.03197490000000016
97,912673,0.032182800000001066
98,941192,0.033180600000000025
99,970299,0.03343030000000056
100,1000000,0.03580079999999839
101,1030301,0.03657699999999977
102,1061208,0.03789460000000133
103,1092727,0.038577799999998774
104,1124864,0.03915190000000166
105,1157625,0.03989679999999964
106,1191016,0.04055609999999774
107,1225043,0.041354200000000674
108,1259712,0.04254990000000021
109,1295029,0.042396800000000213
110,1331000,0.04421660000000145
111,1367631,0.04423109999999895
112,1404928,0.04589550000000031
113,1442897,0.04633599999999945
114,1481544,0.04647199999999998
115,1520875,0.04872530000000097
116,1560896,0.04989309999999989
117,1601613,0.04903759999999977
118,1643032,0.04936940000000049
119,1685159,0.04891719999999964
120,1728000,0.05369309999999814
121,1771561,0.05619080000000167
122,1815848,0.05213239999999928
123,1860867,0.05415390000000002
124,1906624,0.05622360000000128
125,1953125,0.05625210000000038
126,2000376,0.05753399999999829
127,2048383,0.05863260000000139
128,2097152,0.05857919999999979
129,2146689,0.06140029999999967
130,2197000,0.0602579999999989
131,2248091,0.06257960000000082
132,2299968,0.06399120000000096
133,2352637,0.06479559999999936
134,2406104,0.06494439999999883
135,2460375,0.06664450000000102
136,2515456,0.06620780000000082
137,2571353,0.0678877
138,2628072,0.06876559999999757
139,2685619,0.06884380000000193
140,2744000,0.0714433999999983
141,2803221,0.07288520000000176
142,2863288,0.07245559999999784
143,2924207,0.07376340000000141
144,2985984,0.07572720000000004
145,3048625,0.07678740000000062
146,3112136,0.07562029999999993
147,3176523,0.07873069999999985
148,3241792,0.07910719999999856
149,3307949,0.08019869999999969
150,3375000,0.0811035000000004
151,3442951,0.08145939999999996
152,3511808,0.08302720000000079
153,3581577,0.08484880000000032
154,3652264,0.08299609999999973
155,3723875,0.08610319999999945
156,3796416,0.08572719999999948
157,3869893,0.08677650000000199
158,3944312,0.08773259999999823
159,4019679,0.09030830000000094
160,4096000,0.09137409999999875
161,4173281,0.09360929999999996
162,4251528,0.09503130000000226
163,4330747,0.09337280000000021
164,4410944,0.09677199999999857
165,4492125,0.09736870000000124
166,4574296,0.09834539999999947
167,4657463,0.09923900000000004
168,4741632,0.09992210000000057
169,4826809,0.09895909999999901
170,4913000,0.10152129999999886
171,5000211,0.1050263000000001
172,5088448,0.10450160000000039
173,5177717,0.10766000000000134
174,5268024,0.10737550000000055
175,5359375,0.10811809999999866
176,5451776,0.11031270000000007
177,5545233,0.1091351000000003
178,5639752,0.11220799999999827
179,5735339,0.11339660000000151
180,5832000,0.11430870000000085
181,5929741,0.11306679999999858
182,6028568,0.11573570000000188
183,6128487,0.11624279999999772
184,6229504,0.11926330000000007
185,6331625,0.11999200000000201
186,6434856,0.12454369999999812
187,6539203,0.12054540000000032
188,6644672,0.12175009999999986
189,6751269,0.1236311999999998
190,6859000,0.1262145000000004
191,6967871,0.12926730000000078
192,7077888,0.12844809999999995
193,7189057,0.1352170000000001
194,7301384,0.12896220000000086
195,7414875,0.1334545999999989
196,7529536,0.1334495000000004
197,7645373,0.13594070000000044
198,7762392,0.13588539999999796
199,7880599,0.13806780000000174
200,8000000,0.13893679999999903
