n,high_density,low_density
2,0.0008684999999999832,0.0008824000000004162
3,0.0008687999999999363,0.000867900000000077
4,0.0008994000000001279,0.0008859999999998536
5,0.0009166999999997927,0.0008756000000005315
6,0.000931500000000085,0.0008689000000003944
7,0.0010006000000004178,0.0008603999999991174
8,0.0010342000000001406,0.0008799000000010437
9,0.0010916999999999177,0.0008918999999991684
10,0.0011263999999997054,0.0008987999999988006
11,0.001217799999999869,0.0008837999999997237
12,0.0013001000000002704,0.0009151000000002796
13,0.0013604000000000838,0.0009045000000014625
14,0.0014424999999995691,0.000897000000000503
15,0.0015570000000003858,0.0009053999999991902
16,0.0016657000000002142,0.0009101999999984401
17,0.001742699999999786,0.0009234000000020615
18,0.0018541999999996505,0.0009118999999998323
19,0.0019980000000003884,0.0009142999999994572
20,0.0021631999999996766,0.0009045999999983678
21,0.0022545000000000924,0.000913700000000972
22,0.0024273999999998353,0.0009164999999995871
23,0.0025871000000002196,0.000935200000000691
24,0.0026501000000003216,0.0009271000000012463
25,0.0028583999999995057,0.0009268999999989091
26,0.0029946000000002472,0.0009374000000008209
27,0.00322620000000029,0.0009320999999999913
28,0.0033204999999995265,0.0009855999999984987
29,0.0035966999999999414,0.0009557000000000926
30,0.003916000000000253,0.0009746000000006916
31,0.004032800000000236,0.0009759999999999991
32,0.004311899999999725,0.0009591999999997824
33,0.004398599999999675,0.0009526999999991403
34,0.0046971000000006315,0.0009886000000022932
35,0.0049673999999996,0.000978399999999624
36,0.005162500000000137,0.00096189999999865
37,0.00548119999999983,0.0010062000000004901
38,0.005756699999999881,0.000991199999998571
39,0.005892700000000417,0.000988399999999956
40,0.0062046999999999745,0.0010066000000023222
41,0.006471599999999711,0.0010058999999984052
42,0.006690100000000143,0.0010070000000013124
43,0.007046700000000072,0.000990400000000591
44,0.007278699999999816,0.0010273999999981243
45,0.007682799999999901,0.0010035000000016225
46,0.007940299999999923,0.000999500000000353
47,0.00822250000000011,0.0010046999999985928
48,0.008630500000000296,0.001037900000000036
49,0.00885199999999955,0.0010156999999992422
50,0.009716800000000348,0.0010276000000004615
51,0.009527800000000041,0.0010409000000009883
52,0.009812800000000265,0.001027500000000714
53,0.010286199999999468,0.001048299999999358
54,0.010612400000000122,0.0010531999999983555
55,0.011124800000000334,0.001020099999999502
56,0.011364499999999823,0.0011051000000009026
57,0.012008900000000012,0.0010636000000005196
58,0.01205799999999968,0.0010371999999989612
59,0.012409200000000453,0.0010531000000014502
60,0.012779099999999488,0.0010630999999989398
61,0.013623300000000426,0.001094600000001833
62,0.013730599999999527,0.0010521999999980381
63,0.014335200000000015,0.0010605999999995675
64,0.015008100000000014,0.0010947000000015804
65,0.015229300000000024,0.0010682000000002746
66,0.015529000000000081,0.0010944999999992432
67,0.015867200000000282,0.001087799999999106
68,0.0164913999999996,0.0010882000000009384
69,0.01697640000000007,0.0010827000000006137
70,0.017372500000000457,0.0010880999999983488
71,0.018298499999999506,0.0011178999999998495
72,0.01849600000000038,0.0011238000000020065
73,0.018648699999999963,0.0010920999999996183
74,0.019001099999999837,0.0011277000000006864
75,0.01956780000000009,0.001121100000000297
76,0.02055909999999983,0.0011189999999999146
77,0.021020599999999945,0.0011034999999992579
78,0.02176150000000021,0.0011471999999997707
79,0.022373400000000744,0.0011204999999989695
80,0.022671899999998857,0.0011337999999994964
81,0.022962499999999865,0.0011523000000011052
82,0.023414000000001066,0.0011673999999999296
83,0.024198599999999716,0.0011198000000007368
84,0.024690199999999152,0.0011477999999982558
85,0.026312200000000986,0.0011435000000005857
86,0.025249599999999362,0.0011666000000019495
87,0.02644990000000007,0.0011754999999993743
88,0.026489200000000324,0.0011861999999979388
89,0.027615199999999618,0.0011321000000009463
90,0.028544800000000238,0.0011761000000007015
91,0.02872600000000034,0.001183799999998314
92,0.029511300000000063,0.0011945000000025629
93,0.029706099999999937,0.001175999999998112
94,0.030140299999999343,0.0011611000000016248
95,0.03177749999999975,0.0011786999999998215
96,0.03322500000000019,0.0011732999999992445
97,0.031852800000000056,0.0011988999999999806
98,0.0331310000000002,0.0011952000000007956
99,0.03335830000000044,0.001221400000000017
100,0.035282399999999825,0.0011734999999987394
101,0.03675870000000003,0.0012108000000011997
102,0.037304000000000316,0.0012107999999983576
103,0.039379900000000134,0.0012084000000015748
104,0.03848209999999881,0.0012365999999985888
105,0.040377200000000356,0.0012055000000003701
106,0.04002240000000086,0.0012133000000005723
107,0.041031699999999206,0.0012447000000008757
108,0.04283879999999982,0.0012281999999999016
109,0.043331200000000084,0.0012464999999991732
110,0.042928100000000316,0.0012325000000004138
111,0.044383700000000206,0.0012974999999983083
112,0.045189100000000336,0.0012596999999999526
113,0.04626389999999958,0.0012839000000013812
114,0.046845299999999666,0.0012450999999998658
115,0.04816890000000029,0.0012577999999990653
116,0.0482719000000003,0.0012693000000012944
117,0.048471499999999425,0.0012629000000003998
118,0.04839190000000002,0.0012495000000001255
119,0.05104089999999957,0.0012650999999976875
120,0.05020720000000125,0.0012918000000013308
121,0.05193299999999965,0.0012750000000011142
122,0.05330220000000026,0.0012923999999998159
123,0.05356389999999891,0.0012735999999989645
124,0.05588500000000067,0.0012968000000000758
125,0.05616589999999917,0.001271099999999592
126,0.05758470000000102,0.0013187000000016269
127,0.05728249999999946,0.001327099999997472
128,0.05960630000000009,0.0013268000000010716
129,0.0603714999999994,0.0013193999999998596
130,0.061010400000000686,0.0013319999999993116
131,0.06231420000000014,0.0013305000000002564
132,0.06270020000000046,0.001318000000000552
133,0.06305449999999979,0.0013108000000016772
134,0.0644396999999998,0.001324699999997847
135,0.06480839999999972,0.0013379000000014684
136,0.0679977000000008,0.0013256999999981644
137,0.06754359999999907,0.0013933000000008633
138,0.06840700000000055,0.0013587999999998602
139,0.06941999999999951,0.0013626000000016348
140,0.07060150000000079,0.0013690999999994347
141,0.07063069999999953,0.0013605999999981577
142,0.07265819999999934,0.0014350000000007412
143,0.07309730000000059,0.0013429000000002133
144,0.0742366000000004,0.0014269000000012965
145,0.07448429999999888,0.0014324999999985265
146,0.07715640000000121,0.0013931000000013682
147,0.07663289999999989,0.001447399999997856
148,0.07966199999999901,0.0014078000000012024
149,0.07839640000000117,0.0014430000000004383
150,0.08244689999999935,0.001410300000000575
151,0.08186689999999999,0.0014153999999990674
152,0.08167140000000046,0.0014000000000010005
153,0.08409019999999998,0.001424399999999082
154,0.08409389999999917,0.0014380999999985989
155,0.08673370000000062,0.0013947999999999183
156,0.08848019999999934,0.0014519000000007055
157,0.08721919999999983,0.001425700000001484
158,0.08925140000000056,0.0014486000000005106
159,0.08864789999999942,0.0014797999999984768
160,0.08997410000000058,0.0014428000000009434
161,0.09317900000000065,0.0014217000000002144
162,0.09429289999999924,0.0014552999999978057
163,0.09416209999999978,0.0014621000000005324
164,0.09627430000000033,0.0014375999999998613
165,0.09665399999999949,0.0014584000000013476
166,0.09785580000000067,0.0014478999999994358
167,0.09721159999999998,0.0014455999999995583
168,0.10056359999999956,0.0014240999999998393
169,0.10142639999999972,0.0014951999999993858
170,0.10321530000000081,0.0015261000000009518
171,0.10421769999999952,0.0014739999999989096
172,0.10639600000000086,0.0014436000000017657
173,0.10426889999999958,0.0014694999999989022
174,0.10598839999999968,0.001501700000000028
175,0.10857680000000017,0.0014921000000015284
176,0.10766729999999995,0.001515399999999545
177,0.10957790000000074,0.0015138000000007423
178,0.10894699999999916,0.0014898999999985562
179,0.11127309999999965,0.0014911000000012108
180,0.11305610000000002,0.0015163999999998623
181,0.11531520000000058,0.001532499999999004
182,0.11435109999999896,0.0014781999999996741
183,0.11652610000000152,0.0015172000000006846
184,0.11902149999999949,0.0015381999999988238
185,0.11803130000000124,0.0015388999999998987
186,0.12074289999999906,0.0015658000000001947
187,0.12445830000000058,0.0016632000000015522
188,0.12113729999999805,0.0015176999999994222
189,0.12623159999999983,0.0015825000000006639
190,0.12657740000000217,0.0015566000000006852
191,0.12742299999999887,0.0016244999999997845
192,0.12699369999999988,0.00156639999999868
193,0.13141720000000134,0.0015718999999990047
194,0.12983899999999834,0.0015338000000014063
195,0.13138340000000143,0.0015404999999987013
196,0.13378459999999848,0.0015430000000009158
197,0.13420550000000162,0.0015715999999997622
198,0.13579199999999786,0.001562699999999495
199,0.13837260000000243,0.0015938000000005558
200,0.13931739999999876,0.0015458999999992784
